id,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
05-96,100.9523,101.9506,102.645,103.6299,104.1446,105.0263,105.4197,105.9071,106.9787,107.9195981,108.6,109.4,111.3,113.2329982,115.1995676,117.2002914,119.2357626,121.3065848,123.4133719,125.5567486,127.7373503,129.9558234,132.2128258,134.5090267
01-03,100.9523,101.9506,102.645,103.6299,104.1446,105.0263,105.4197,105.9071,106.9787,107.9195981,108.6,109.4,111.3,113.2329982,115.1995676,117.2002914,119.2357626,121.3065848,123.4133719,125.5567486,127.7373503,129.9558234,132.2128258,134.5090267
05-43,101.1001,102.0095,102.6903,104.0743,104.9462,105.623,106.1748,106.4192,108.1452,108.295042,108.2,109.5,111.6,113.740274,115.9215943,118.1447482,120.4105378,122.719781,125.0733111,127.4719773,129.9166454,132.4081975,134.9475328,137.5355677
05-09/35-39,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10-33,101.1001,102.0095,102.6903,104.0743,104.9462,105.623,106.1748,106.4192,108.1452,108.295042,108.2,109.5,111.6,113.740274,115.9215943,118.1447482,120.4105378,122.719781,125.0733111,127.4719773,129.9166454,132.4081975,134.9475328,137.5355677
41-43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
45-96,100.9339,101.9432,102.6393,103.5744,104.0445,104.9521,105.3255,105.8436,106.8326,107.8576222,108.6,109.4,111.3,113.2329982,115.1995676,117.2002914,119.2357626,121.3065848,123.4133719,125.5567486,127.7373503,129.9558234,132.2128258,134.5090267
45-47,101.6251,102.702,103.5257,104.7917,105.52,106.7342,107.0368,108.4006,109.2272,110.2826411,110.3,111.5,113.8,116.1474439,118.5433105,120.9885985,123.4843275,126.0315378,128.6312915,131.2846724,133.9927867,136.7567635,139.577755,142.4569374
49-53,101.2597,101.8735,102.7299,102.5739,102.8591,102.8941,103.2405,102.8362,103.3614,103.9249832,104.5,105.7,108.0,110.3500473,112.7512309,115.2046636,117.7114822,120.2728484,122.8899492,125.5639973,128.2962318,131.087919,133.9403524,136.8548539
55/56,99.9867,102.8839,102.8586,104.3152,104.645,105.5722,105.9215,106.4387,105.5934,0.0,105.9,106.7,108.2,109.7210872,111.2635579,112.8277129,114.413857,116.0222992,117.6533531,119.3073365,120.9845717,122.6853858,124.41011,126.1590807
58-63,100.8421,101.6124,101.8662,103.1034,103.262,104.4783,105.6662,107.1685,107.8146,113.4820209,112.0,113.8,116.5,119.2640598,122.0936991,124.9904741,127.9559774,130.9918398,134.0997305,137.2813586,140.5384734,143.872866,147.2863699,150.780862
64-66,101.4783,102.811,103.5531,105.0687,106.0653,107.5164,108.2415,109.7571,111.5133,110.084843,110.6,112.0,111.1,110.2072321,109.3216383,108.4431609,107.5717426,106.7073268,105.8498572,104.999278,104.1555338,103.3185697,102.4883312,101.6647643
69-75,100.9488,102.2778,104.2874,105.2339,104.9727,106.0953,106.7485,107.0577,108.0392,110.2645463,110.5,112.4,111.5,110.6072064,109.7215615,108.8430081,107.9714893,107.1069489,106.249331,105.3985802,104.5546413,103.7174601,102.8869822,102.063154
77-82,100.8996,101.8304,102.6242,103.7307,103.5613,103.9477,104.5965,104.4871,104.9033,106.0042576,106.6,107.7,112.4,117.3051068,122.4242711,127.7668345,133.3425459,139.16158,145.2345552,151.5725534,158.1871402,165.0903859,172.2948874,179.8137915
84,100.0257,100.6535,102.0404,102.4248,102.8207,103.5577,103.6615,102.8035,103.626,103.3713237,107.2,107.7,112.7,117.9321263,123.4071554,129.136364,135.1315527,141.4050696,147.969836,154.8393734,162.0278309,169.5500143,177.421417,185.6582516
86-88,100.7337,101.0349,101.4587,101.4252,101.7675,102.4576,102.7133,103.0652,103.8255,105.1179836,105.4,106.1,106.4,106.7008483,107.0025472,107.3050991,107.6085066,107.9127719,108.2178976,108.523886,108.8307396,109.1384608,109.4470521,109.756516
90-96,100.0547,101.8824,101.8881,104.9264,105.4376,106.6824,106.8362,107.58,0.0,109.2792845,105.1,102.8,105.7,108.6818093,111.7477359,114.9001525,118.1414993,121.4742847,124.9010885,128.4245628,132.0474347,135.7725082,139.6026665,143.5408741
