id,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
05-96,100.9507,101.7204,102.5036,103.2055,103.517,104.1277,104.5568,105.0719,105.9765,106.8400503,106.0,107.1,108.9,110.7302521,112.5912647,114.4835549,116.4076483,118.3640793,120.3533916,122.3761377,124.4328795,126.5241884,128.6506453,130.812841
01-03,100.9507,101.7204,102.5036,103.2055,103.517,104.1277,104.5568,105.0719,105.9765,106.8400503,106.0,107.1,108.9,110.7302521,112.5912647,114.4835549,116.4076483,118.3640793,120.3533916,122.3761377,124.4328795,126.5241884,128.6506453,130.812841
05-43,100.932,101.5569,102.2245,103.093,103.501,103.9244,104.339,104.699,105.484,106.1425788,105.5,106.1,108.4,110.7498586,113.1506567,115.6034984,118.1095121,120.6698502,123.2856905,125.9582361,128.6887163,131.4783868,134.3285309,137.2404595
05-09/35-39,101.4944,101.4975,101.5358,102.0162,102.9235,103.3991,103.6518,103.4385,104.9755,103.1168345,103.6,104.8,107.2,109.6549618,112.1661442,114.7348345,117.3623498,120.0500372,122.7992747,125.6114718,128.4880704,131.4305453,134.4404051,137.519193
10-33,100.8523,101.4686,102.2539,103.3277,104.0246,104.4466,104.9474,105.2621,105.8408,106.6757093,105.6,106.3,108.5,110.7455315,113.0375369,115.3769779,117.7648363,120.2021142,122.6898344,125.2290407,127.8207989,130.4661964,133.1663434,135.9223731
41-43,101.0127,101.7447,102.2641,102.7717,102.5207,102.9352,103.2319,103.7855,104.7761,105.6439403,105.7,106.2,108.7,111.2588512,113.8779391,116.5586815,119.3025299,122.1109699,124.9855219,127.9277423,130.939224,134.0215975,137.1765315,140.4057342
45-96,100.9615,101.8145,102.6642,103.2703,103.5261,104.2452,104.6827,105.2872,106.261,107.23515,106.4,107.7,109.2,110.7208914,112.2629651,113.8265161,115.4118436,117.0192509,118.6490455,120.3015392,121.9770481,123.6758928,125.3983982,127.144894
45-47,101.1856,101.9118,102.4448,102.8832,103.1559,103.908,104.3653,104.9985,105.0439,105.2140644,105.1,106.3,107.7,109.1184384,110.555558,112.0116048,113.4868282,114.9814807,116.4958182,118.0300999,119.5845885,121.1595502,122.7552545,124.3719747
49-53,100.4811,101.3914,101.8862,101.4266,102.2015,102.2753,102.6246,102.6009,104.0385,103.3340899,103.4,103.9,106.0,108.1424447,110.3281919,112.5581168,114.8331124,117.1540897,119.5219779,121.9377253,124.4022992,126.9166863,129.4818937,132.0989483
55/56,99.9922,101.8625,102.6123,103.4042,103.6738,104.6758,104.9632,105.2834,104.5189,0.0,104.6,105.3,107.4,109.5418803,111.7264762,113.9546396,116.2272392,118.5451614,120.9093099,123.3206067,125.779992,128.2884249,130.8468835,133.4563655
58-63,101.8357,102.1845,103.4038,104.4703,104.4914,104.9184,105.9014,107.3608,107.9316,110.0136637,108.1,110.0,111.9,113.8328182,115.7990214,117.7991863,119.8338995,121.9037578,124.0093682,126.1513482,128.330326,130.5469407,132.8018424,135.0956924
64-66,101.3906,102.1049,102.9317,104.2376,104.568,105.9897,106.2897,107.8018,109.5266,108.9020351,106.0,108.3,110.8,113.3577101,115.9744624,118.6516199,121.3905769,124.1927601,127.059629,129.9926768,132.9934311,136.0634549,139.2043472,142.417744
69-75,100.7836,102.0252,104.1018,104.0317,103.7791,105.0352,105.6714,105.2874,107.4547,110.7359822,109.2,110.7,110.2,109.7022584,109.2067649,108.7135094,108.2224818,107.733672,107.2470701,106.762666,106.2804498,105.8004116,105.3225416,104.8468301
77-82,100.4953,101.2934,102.4196,103.3892,103.1831,103.31,103.6962,103.9527,104.2823,105.0810847,105.5,107.2,109.1,111.0336754,113.001623,115.0044503,117.0427754,119.1172276,121.2284471,123.3770856,125.5638063,127.7892843,130.0542063,132.3592715
84,100.0238,101.0435,101.9874,102.3431,102.3443,103.0715,103.233,104.2472,105.0812,105.4162998,105.6,106.6,109.0,111.4540338,113.9633178,116.5290961,119.1526405,121.8352515,124.5782591,127.3830229,130.2509333,133.1834121,136.181913,139.2479223
86-88,101.2454,101.5172,102.2603,102.5398,102.8793,102.9724,103.4962,104.7731,104.2752,107.7711626,106.3,107.9,107.2,106.5045412,105.8135943,105.1271298,104.4451188,103.7675323,103.0943416,102.4255183,101.7610339,101.1008604,100.4449697,99.7933341
90-96,100.7361,102.2561,102.2013,104.2172,104.7418,106.0058,105.8772,104.8941,0.0,103.4103094,100.7,100.5,103.5,106.5895522,109.7713299,113.048086,116.4226558,119.8979589,123.4770025,127.1628831,130.9587901,134.8680077,138.8939184,143.0400055
