id,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
05-96,100.9513,101.7977,102.5511,103.348,103.7277,104.429,104.8461,105.3519,106.3124,107.2054242,107.0,108.0,109.8,111.63,113.4905,115.3820083,117.3050418,119.2601258,121.2477946,123.2685912,125.3230677,127.4117855,129.5353152,131.6942372
01-03,100.9513,101.7977,102.5511,103.348,103.7277,104.429,104.8461,105.3519,106.3124,107.2054242,107.0,108.0,109.8,111.63,113.4905,115.3820083,117.3050418,119.2601258,121.2477946,123.2685912,125.3230677,127.4117855,129.5353152,131.6942372
05-43,100.9544,101.6171,102.2865,103.2236,103.6934,104.1506,104.5835,104.9281,105.8385,106.4206118,105.9,106.7,109.0,111.3495783,113.7498035,116.2017674,118.7065852,121.2653963,123.8793646,126.5496789,129.2775539,132.0642303,134.9109757,137.8190848
05-09,101.4944,101.4975,101.5358,102.0162,102.9235,102.9235,103.6518,103.4385,104.9755,103.1174337,103.6,104.8,107.2,109.6549618,112.1661442,114.7348345,117.3623498,120.0500372,122.7992747,125.6114718,128.4880704,131.4305453,134.4404051,137.519193
35-39,101.4944,101.4975,101.5358,102.0162,102.9235,102.9235,103.6518,103.4385,104.9755,103.1174337,103.6,104.8,107.2,109.6549618,112.1661442,114.7348345,117.3623498,120.0500372,122.7992747,125.6114718,128.4880704,131.4305453,134.4404051,137.519193
10-33,100.9002,101.5734,102.3384,103.4723,104.2031,104.6776,105.1888,105.489,106.3043,106.9740171,106.1,106.9,109.1,111.345276,113.6367597,115.975402,118.3621736,120.798065,123.2840869,125.8212711,128.4106705,131.0533597,133.7504354,136.5030168
10-12,100.2127,100.6443,100.6763,102.0072,102.9146,102.7528,102.9497,102.9044,103.6752,104.193576,104.5,104.5,106.5,108.5382775,110.6155651,112.7326094,114.8901713,117.0890263,119.3299646,121.6137917,123.9413283,126.3134112,128.7308927,131.1946419
16-18,100.8089,101.5147,102.0552,102.2616,102.5426,101.824,103.158,102.7292,104.4201,104.0859557,103.9,104.8,106.8,108.8381679,110.9152322,113.0319351,115.1890331,117.3872971,119.6275127,121.9104805,124.2370164,126.6079518,129.0241341,131.4864267
19-21,101.4288,102.8733,103.9178,104.7204,105.886,107.4631,107.6334,109.4953,109.5667,109.5119167,106.1,110.4,111.3,112.207337,113.1220707,114.0442615,114.9739701,115.9112579,116.8561867,117.8088186,118.7692166,119.7374439,120.7135644,121.6976423
22-23,101.1103,102.0455,102.473,104.3637,103.6205,103.8313,103.559,104.7117,105.2472,105.7629113,106.3,104.0,106.5,109.0600962,111.6817331,114.3663901,117.1155822,119.9308606,122.813814,125.7660691,128.789292,131.8851884,135.0555054,138.302032
