id,label,2 femme,femme,4 total,1 femme,2 homme,total,homme,1 homme,4 femme,1 total,3 homme,3 total,3 femme,4 homme,2 total
01-96,TOTAL,5147.0,6017.0,9008.0,4367.0,5848.0,6510.0,6816.0,5305.0,7958.0,4919.0,7661.0,7187.0,6500.0,9727.0,5599.0
05-43,SECTEUR 2  PRODUCTION,5399.0,5990.0,9595.0,4656.0,6135.0,6600.0,6714.0,5637.0,9210.0,5438.0,7753.0,7662.0,7071.0,9694.0,6019.0
05-09,Industries extractives,5890.0,6412.0,10294.0,5881.0,6118.0,6360.0,6357.0,5881.0,10294.0,5881.0,7367.0,7417.0,7417.0,10546.0,6115.0
10-33,Industrie manufacturière,5262.0,5910.0,9638.0,4643.0,6096.0,6717.0,6973.0,5474.0,9390.0,5143.0,7787.0,7659.0,7120.0,9696.0,5891.0
10-11,Industries alimentaires; fabr. de boissons,4701.0,4829.0,8100.0,4338.0,5449.0,5393.0,5775.0,4796.0,7429.0,4589.0,7047.0,6898.0,6549.0,8376.0,5104.0
12,Fabrication de produits à base de tabac,7161.0,13548.0,16310.0,5179.0,7282.0,13299.0,13048.0,5179.0,15875.0,5179.0,9551.0,9744.0,10192.0,16668.0,7282.0
13-15,Industries du textile et de l’habillement,4501.0,4812.0,8307.0,4333.0,5628.0,5417.0,6084.0,5199.0,6877.0,4760.0,7032.0,6631.0,5921.0,9159.0,4914.0
16-18,Industries du bois et du papier; imprimerie,5564.0,5590.0,8354.0,4643.0,6056.0,6212.0,6324.0,5340.0,7159.0,5087.0,7253.0,7107.0,6067.0,8531.0,5970.0
19-20,Cokéfaction; industrie chimique,6071.0,7651.0,10024.0,4489.0,6798.0,8071.0,8210.0,6084.0,9354.0,5923.0,8357.0,8120.0,7492.0,10370.0,6581.0
21,Industrie pharmaceutique,7102.0,10095.0,12884.0,4699.0,7512.0,10296.0,10417.0,6568.0,12042.0,5740.0,8790.0,8692.0,8518.0,13507.0,7376.0
22-23,Industries du caoutchouc et du plastique,5402.0,5464.0,8956.0,4706.0,6002.0,6224.0,6386.0,5469.0,8102.0,5290.0,7331.0,7325.0,7204.0,9124.0,5898.0
24-25,Métallurgie; fabr. produits métalliques,5412.0,5591.0,9071.0,4728.0,6017.0,6239.0,6348.0,5430.0,8204.0,5259.0,7262.0,7198.0,6660.0,9246.0,5944.0
26,"Fabr. prod. informatiques, électroniques et optiques; horlogerie",5439.0,6043.0,9835.0,4894.0,6490.0,7365.0,8073.0,6047.0,9118.0,5263.0,8618.0,8320.0,7469.0,10025.0,6008.0
27,Fabrication d’équipements électriques,5161.0,5433.0,8987.0,4410.0,6163.0,6799.0,7218.0,5677.0,7912.0,5098.0,7823.0,7576.0,6424.0,9130.0,5951.0
28,Fabr. de machines et équipements n.c.a,5884.0,6526.0,9127.0,5154.0,6500.0,7245.0,7402.0,5937.0,8411.0,5634.0,7930.0,7827.0,7220.0,9201.0,6419.0
