id,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
01-96,41.67362417,41.66915863,41.66915863,41.66239409,41.62834008,41.63949694,41.64527427,41.69776018,41.69053485,41.68490733,41.6663703,41.68274825,41.70140577,41.69132722,41.68553783,41.68590754,41.69615701,41.70402195,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123,41.6944123
01-03,42.98353643,42.90770405,42.90770405,42.79091253,42.70115365,42.98309374,42.26671348,42.89966856,42.96083812,42.83769643,42.75956958,42.84937942,42.82512215,42.6297354,42.8515483,43.14416623,43.22707611,43.28493039,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548,43.38451548
05-43,41.38606498,41.41005214,41.41005214,41.39564303,41.34829206,41.34252738,41.35293206,41.40400845,41.36277887,41.37596981,41.35906942,41.38989641,41.38104558,41.34594185,41.33811913,41.30942694,41.30476877,41.31154782,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145,41.28927145
05-09,42.25962291,42.39040938,42.39040938,42.66027766,42.64008055,42.57016896,42.28311527,42.46550391,42.22727921,42.20569453,42.19954349,42.35984052,42.42092839,42.65426811,42.65758609,42.46946429,42.39258197,42.38986581,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271,42.43141271
10-33,41.1978938,41.21886768,41.21886768,41.21590425,41.19084549,41.1654233,41.21427866,41.2457176,41.25125413,41.26928905,41.26342196,41.34190543,41.33589588,41.29957947,41.2875942,41.27455855,41.27783553,41.28408805,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706,41.25644706
10-12,41.92822095,41.98592218,41.98592218,42.11774373,42.1072246,42.14922049,42.16562854,42.20912182,42.18618305,42.23377333,42.25948186,42.2262608,42.25411637,42.22939937,42.20643119,42.17914124,42.19575892,42.19454862,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003,42.20048003
13-15,41.74138854,41.63643933,41.63643933,41.73890791,41.64571292,41.67782262,41.75354552,41.78431167,41.7805152,41.68148832,41.61439186,41.77358743,41.66090667,41.61775777,41.63364702,41.62011472,41.70851974,41.80572464,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254,41.84034254
16-18,41.32149495,41.37213127,41.37213127,41.40619296,41.41675646,41.34894618,41.40372087,41.47556954,41.406524,41.49788912,41.56737214,41.66480612,41.72980951,41.73714492,41.77257419,41.74069857,41.74911355,41.76110806,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639,41.78572639
19-20,40.84737702,40.93403616,40.93403616,40.82141717,40.86282715,40.82485432,40.89389467,40.96413653,41.02913146,40.96782179,40.99346726,41.0087425,41.41476073,41.31357519,41.25679209,41.30902418,41.20317035,41.21268567,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596,41.12940596
21,40.7117,40.6914,40.6914,40.66229,40.64049,40.60529,40.71613,40.69048,40.71132,40.70785,40.5975,40.57642,40.43776,40.43222,40.44605,40.41444,40.41176,40.52297,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089,40.49089
22-23,41.77699998,41.75778081,41.75778081,41.7266758,41.7544923,41.72182774,41.72457066,41.7889029,41.65334095,41.66985913,41.66983903,41.73042626,41.74513182,41.68560916,41.69622949,41.63607716,41.64654117,41.66247719,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163,41.60345163
24-25,41.38346255,41.38970145,41.38970145,41.36359986,41.38529947,41.29478127,41.37818845,41.3702853,41.43352659,41.3934543,41.29894172,41.43181149,41.45705564,41.43153271,41.36571116,41.39580043,41.36311939,41.32522455,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711,41.30745711
26,40.56443,40.54156,40.54156,40.51381,40.48665,40.47838,40.45797,40.49022,40.48532,40.48848,40.48759,40.52198,40.54016,40.47137,40.47147,40.47896,40.56528,40.54261,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015,40.49015
27,40.81595,40.96892,40.96892,41.06375,40.94695,40.90425,40.96458,41.07943,41.04482,41.12758,40.93655,41.2123,41.04577,40.93648,40.9493,40.84519,40.82677,40.87308,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936,40.85936
